insert into album (album_id, nombre, anno, grupo_musical) values (1, 'vivamus vestibulum sagittis sapien cum', 1986, 'Dusicyon thous');
insert into album (album_id, nombre, anno, grupo_musical) values (18, 'morbi vel lectus in quam', 2002, 'Lemur catta');
insert into album (album_id, nombre, anno, grupo_musical) values (19, 'amet eleifend pede libero quis orci', 2010, 'Sagittarius serpentarius');
insert into album (album_id, nombre, anno, grupo_musical) values (20, 'pede justo lacinia eget tincidunt eget', 1987, 'Crotalus cerastes');
insert into album (album_id, nombre, anno, grupo_musical) values (21, 'id ligula suspendisse', 1974, 'Chelodina longicollis');
insert into album (album_id, nombre, anno, grupo_musical) values (22, 'morbi non lectus aliquam sit amet', 1995, 'Charadrius tricollaris');
insert into album (album_id, nombre, anno, grupo_musical) values (23, 'vitae nisl aenean lectus', 2009, 'Bucephala clangula');
insert into album (album_id, nombre, anno, grupo_musical) values (24, 'aliquam convallis nunc', 2001, 'Aegypius tracheliotus');
insert into album (album_id, nombre, anno, grupo_musical) values (25, 'lacus morbi quis tortor', 1992, 'Cracticus nigroagularis');
insert into album (album_id, nombre, anno, grupo_musical) values (26, 'justo in blandit ultrices enim', 1994, 'Loris tardigratus');
insert into album (album_id, nombre, anno, grupo_musical) values (27, 'donec posuere metus vitae', 2010, 'Hyaena hyaena');
insert into album (album_id, nombre, anno, grupo_musical) values (28, 'integer pede justo lacinia', 1995, 'Mungos mungo');
insert into album (album_id, nombre, anno, grupo_musical) values (29, 'augue aliquam erat volutpat in congue', 2012, 'Thylogale stigmatica');
insert into album (album_id, nombre, anno, grupo_musical) values (30, 'justo sit amet sapien dignissim', 2001, 'Spermophilus parryii');
insert into album (album_id, nombre, anno, grupo_musical) values (31, 'dictumst etiam faucibus cursus urna', 1992, 'Haliaeetus leucoryphus');
insert into album (album_id, nombre, anno, grupo_musical) values (32, 'felis sed interdum venenatis turpis', 2000, 'Varanus sp.');
insert into album (album_id, nombre, anno, grupo_musical) values (33, 'vel dapibus at', 2012, 'Fratercula corniculata');
insert into album (album_id, nombre, anno, grupo_musical) values (34, 'odio odio elementum eu interdum eu', 2001, 'Sarkidornis melanotos');
insert into album (album_id, nombre, anno, grupo_musical) values (35, 'ullamcorper augue a', 1986, 'Canis aureus');
insert into album (album_id, nombre, anno, grupo_musical) values (36, 'risus semper porta', 2003, 'Dasyurus viverrinus');
insert into album (album_id, nombre, anno, grupo_musical) values (37, 'ac leo pellentesque ultrices mattis', 2003, 'Nucifraga columbiana');
insert into album (album_id, nombre, anno, grupo_musical) values (38, 'hac habitasse platea dictumst morbi vestibulum', 2005, 'Panthera leo');
insert into album (album_id, nombre, anno, grupo_musical) values (39, 'cras non velit nec nisi vulputate', 1996, 'Pterocles gutturalis');
insert into album (album_id, nombre, anno, grupo_musical) values (40, 'proin risus praesent lectus vestibulum quam', 2009, 'Dendrocitta vagabunda');
insert into album (album_id, nombre, anno, grupo_musical) values (41, 'mattis nibh ligula nec sem', 2009, 'Myiarchus tuberculifer');
insert into album (album_id, nombre, anno, grupo_musical) values (42, 'quis turpis sed ante vivamus tortor', 2011, 'Terathopius ecaudatus');
insert into album (album_id, nombre, anno, grupo_musical) values (43, 'amet cursus id turpis', 1997, 'Galictis vittata');
insert into album (album_id, nombre, anno, grupo_musical) values (44, 'magna ac consequat metus', 1992, 'Gekko gecko');
insert into album (album_id, nombre, anno, grupo_musical) values (45, 'platea dictumst maecenas ut massa', 1994, 'Lasiodora parahybana');
insert into album (album_id, nombre, anno, grupo_musical) values (46, 'lorem id ligula suspendisse', 2010, 'Tamandua tetradactyla');
insert into album (album_id, nombre, anno, grupo_musical) values (47, 'nisi nam ultrices libero non mattis', 1994, 'Canis mesomelas');
insert into album (album_id, nombre, anno, grupo_musical) values (48, 'adipiscing molestie hendrerit at vulputate', 1998, 'Naja nivea');
insert into album (album_id, nombre, anno, grupo_musical) values (49, 'orci eget orci vehicula condimentum', 1963, 'Speotyte cuniculata');
insert into album (album_id, nombre, anno, grupo_musical) values (50, 'maecenas tristique est et', 1993, 'Laniarius ferrugineus');
